,name,station,date,artist,song,uri,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,loudness,index,spotify_artist,spotify_song,scraped_artist,scraped_song
2687,Bruno Mars - Marry You,radiowien,2021-04-29 15:12:02.952517,Bruno Mars , Marry You,spotify:track:22PMfvdz35fFKYnJyMn077,0.332,0.62,0.832,0.0,0.104,0.036,144.926,0.481,-4.848,1396,Bruno Mars,Marry You,,
2688,Bruno Mars - Marry You,radiowien,2021-04-29 15:12:02.952517,Bruno Mars , Marry You,spotify:track:22PMfvdz35fFKYnJyMn077,0.332,0.62,0.832,0.0,0.104,0.036,144.926,0.481,-4.848,1396,Bruno Mars,Marry You,,
2689,Bruno Mars - Treasure,radiowien,2021-04-22 19:45:01.938026,Bruno Mars , Treasure,spotify:track:55h7vJchibLdUkxdlX3fK7,0.0412,0.874,0.692,7.24e-05,0.324,0.0431,116.017,0.937,-5.28,1398,Bruno Mars,Treasure,,
2690,Bruno Mars - Treasure,radiowien,2021-04-27 12:36:03.339525,Bruno Mars , Treasure,spotify:track:55h7vJchibLdUkxdlX3fK7,0.0412,0.874,0.692,7.24e-05,0.324,0.0431,116.017,0.937,-5.28,1398,Bruno Mars,Treasure,,
2691,Bruno Mars - Treasure,radiowien,2021-04-27 12:36:03.339525,Bruno Mars , Treasure,spotify:track:55h7vJchibLdUkxdlX3fK7,0.0412,0.874,0.692,7.24e-05,0.324,0.0431,116.017,0.937,-5.28,1398,Bruno Mars,Treasure,,
2692,Bruno Mars - When I Was Your Man,radiowien,2021-04-23 02:42:01.861585,Bruno Mars , When I Was Your Man,spotify:track:0nJW01T7XtvILxQgC5J7Wh,0.932,0.612,0.28,0.0,0.088,0.0434,72.795,0.387,-8.648,1399,Bruno Mars,When I Was Your Man,,
2693,Bruno Mars - When I Was Your Man,radiowien,2021-05-01 02:33:02.557188,Bruno Mars , When I Was Your Man,spotify:track:0nJW01T7XtvILxQgC5J7Wh,0.932,0.612,0.28,0.0,0.088,0.0434,72.795,0.387,-8.648,1399,Bruno Mars,When I Was Your Man,,
2694,Bruno Mars - When I Was Your Man,radiowien,2021-05-01 02:33:02.557188,Bruno Mars , When I Was Your Man,spotify:track:0nJW01T7XtvILxQgC5J7Wh,0.932,0.612,0.28,0.0,0.088,0.0434,72.795,0.387,-8.648,1399,Bruno Mars,When I Was Your Man,,
2695,Bryan Adams - Cloud Number Nine,radiowien,2021-04-20 01:39:02.164455,Bryan Adams , Cloud Number Nine,spotify:track:66ZB6zO1DN6NZHMoQG7f2T,0.0668,0.592,0.741,0.0,0.218,0.0267,109.594,0.613,-7.117,1403,Bryan Adams,Cloud Number Nine,,
2696,Bryan Adams - Cloud Number Nine,radiowien,2021-05-02 04:15:04.590359,Bryan Adams , Cloud Number Nine,spotify:track:66ZB6zO1DN6NZHMoQG7f2T,0.0668,0.592,0.741,0.0,0.218,0.0267,109.594,0.613,-7.117,1403,Bryan Adams,Cloud Number Nine,,
