,name,station,date,artist,song
172,Diana Ross & The Supremes - Where Did Our Love Go,radiowien,2021-04-18 21:09:02.050060,Diana Ross & The Supremes , Where Did Our Love Go
173,Diana Ross - Upside Down,radiowien,2021-04-18 16:33:01.755828,Diana Ross , Upside Down
174,Die Graue Lagune: The Antlers,fm4,2021-04-18 21:03:02.742794,Die Graue Lagune: The Antlers,Die Graue Lagune: The Antlers
175,Die Ãrzte - Schrei nach Liebe,oe3,2021-04-18 19:18:01.720770,Die Ãrzte , Schrei nach Liebe
176,Die Ärzte - Schrei nach Liebe,oe3,2021-04-18 19:15:01.606764,Die Ärzte , Schrei nach Liebe
177,Dionne Warwick - Heartbreaker,radiowien,2021-04-18 12:06:02.239844,Dionne Warwick , Heartbreaker
178,Dire Straits - Calling Elvis,radiowien,2021-04-18 16:57:02.558183,Dire Straits , Calling Elvis
179,Dixie Cups - Chapel Of Love,radiowien,2021-04-18 20:09:02.238150,Dixie Cups , Chapel Of Love
180,Don't Go - Deep ,fm4,2021-04-19 00:51:02.009935,Don't Go , Deep 
181,Don't Go - Deep ,fm4,2021-04-18 10:14:30.603303,Don't Go , Deep 
182,Donnie - Over-The-Counter Culture ,fm4,2021-04-18 15:03:02.053291,Donnie ,Donnie 
183,Doris Wolf - Crush On You,radiowien,2021-04-18 18:15:01.549512,Doris Wolf , Crush On You
184,Dota Kehr - Ich hasse es ,fm4,2021-04-18 16:09:02.455719,Dota Kehr , Ich hasse es 
185,Dr. Hook - When You're In Love With A Beautiful Woman,radiowien,2021-04-18 21:48:02.807519,Dr. Hook , When You're In Love With A Beautiful Woman
186,Dua Lipa - We're Good,oe3,2021-04-18 11:21:01.106751,Dua Lipa , We're Good
187,Dusty Springfield - Son Of A Preacher Man,radiowien,2021-04-18 12:09:04.170521,Dusty Springfield , Son Of A Preacher Man
188,Dyin Ernst - Schau Vorbei ,fm4,2021-04-18 12:42:02.551801,Dyin Ernst , Schau Vorbei 
189,DÃF - Codo,oe3,2021-04-18 23:15:00.851112,DÃF , Codo
190,DÃF - Taxi,oe3,2021-04-18 18:27:00.714351,DÃF , Taxi
191,EAV - Trick der Politik,oe3,2021-04-19 01:24:01.597253,EAV , Trick der Politik
192,ELO - Mr. Blue Sky,radiowien,2021-04-18 22:27:01.296301,ELO , Mr. Blue Sky
193,ESG - Dance ,fm4,2021-04-18 14:42:02.959351,ESG , Dance 
194,Eagles - Best Of My Love,radiowien,2021-04-18 22:57:01.507177,Eagles , Best Of My Love
